cnpj;optante_simples;optante_simei
467448;False;False
589632;False;False
28415000173;False;False
275977000111;True;False
325276000492;False;False
576704000298;False;False
886828000199;False;False
931489000115;True;False
1026686000152;True;False
1156464000154;False;False
1175596000123;False;False
1181518000131;False;False
1207843000126;False;False
1229308000176;True;False
1259681000170;True;False
1275777000121;False;False
1403356000139;False;False
1857567000141;False;False
1928798000107;False;False
1975079000139;False;False
2071685000192;True;False
2130360000214;False;False
2217319000107;False;False
2308008000145;True;False
2415583112107;False;False
2415583181184;False;False
2581911000185;False;False
2594424000157;False;False
2734022000100;True;False
2800026000140;False;False
2833870000177;False;False
2932074000191;False;False
2950811000189;False;False
2957320000160;True;False
2965468000146;False;False
2981429000132;False;False
3187787000130;True;False
3234943000177;True;False
3384155000167;True;False
3398017000137;True;False
3456351000108;True;False
3456487000100;False;False
3501566000195;False;False
3621100000123;True;False
3694937000100;False;False
3719755000139;True;False
3752218000190;True;False
3799098000187;True;False
3919480000187;False;False
3942255000161;False;False
3946153000114;True;False
3946325000150;False;False
4099894000170;False;False
4165359000170;False;False
4297060000179;True;False
4299646000334;True;False
4305070000109;True;False
4417441000144;True;False
4432889000137;True;False
4478924000159;True;False
4524057000302;False;False
4524628000147;True;False
4670869000285;False;False
4778345000121;True;False
5085404000149;True;False
5087967000176;False;False
5145993000103;True;False
5415942000154;True;False
5477217000100;True;False
5484278000103;False;False
5730396000308;False;False
5758386000119;True;False
5808422000101;True;False
5850655000253;;
5878397000132;False;False
5967024000138;False;False
5999689000123;True;False
6021442000109;True;False
6053779000432;False;False
6057223000171;False;False
6071001000103;False;False
6250045000109;False;False
6280175000186;True;False
6284457000151;False;False
6318833000181;True;False
6320130000198;True;False
6536644000185;False;False
6696035000193;True;False
7009992000167;False;False
7041490000113;True;False
7050365000170;True;False
7057779000120;False;False
7246673000175;False;False
7246943000148;False;False
7253086000103;True;False
7315114000170;True;False
7315999000298;False;False
7316419000104;False;False
7409047000152;True;False
7464451000129;False;False
7465671000177;False;False
7491164000108;True;False
7579933000124;False;False
7621126000394;;
7628528000159;False;False
7659215000168;False;False
7679140000187;False;False
7683886000407;;
7685979000128;False;False
7737463000180;True;False
7749348000125;False;False
7751427000170;True;True
7871529000120;True;False
7916392000182;False;False
7933222000297;;
7941675000184;True;False
7953678017537;False;False
7957567001171;False;False
7963394000556;False;False
7993125000109;True;False
8016712000372;False;False
8054198000106;False;False
8058149000133;True;False
