cd_acao_rdz;cd_acao;nm_empresa;setor_economico;subsetor;segmento;cnpj
EQPA;EQPA3, EQPA5, EQPA6, EQPA7;EQTL PARA;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;04.895.728/0001-80
EQMA;;EQTLMARANHAO;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;
EQTL;EQTL3;EQUATORIAL;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;03.220.438/0001-73
ESCE;;ESCELSA;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;
FGEN;;FGENERGIA;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;
GEPA;GEPA3, GEPA4;GER PARANAP;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;02.998.301/0001-81
ITPB;;ITAPEBI;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;
LIGH;;LIGHT;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;
LIGT;LIGT3;LIGHT S/A;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;03.378.521/0001-75
NEOE;NEOE3;NEOENERGIA;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;01.083.200/0001-18
OMGE;OMGE3;OMEGA GER;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;09.149.503/0001-06
PALF;;PAUL F LUZ;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;
PRMN;PRMN3B;PROMAN;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;02.291.077/0001-93
REDE;REDE3;REDE ENERGIA;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;61.584.140/0001-49
RNEW;RNEW11, RNEW4, RNEW3;RENOVA;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;08.534.605/0001-74
STKF;STKF3;STATKRAFT;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;00.622.416/0001-41
STEN;;STO ANTONIO;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;
TAEE;TAEE11, TAEE3, TAEE4;TAESA;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;07.859.971/0001-30
TMPE;;TERMOPE;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;
TEPE;;TERM. PE III;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;
TRPL;TRPL3, TRPL4;TRAN PAULIST;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;02.998.611/0001-04
UPKP;UPKP3B;UPTICK;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;02.162.616/0001-94
CASN;CASN4, CASN3;CASAN;UTILIDADE PÚBLICA;ÁGUA E SANEAMENTO;ÁGUA E SANEAMENTO;82.508.433/0001-17
CSMG;CSMG3;COPASA;UTILIDADE PÚBLICA;ÁGUA E SANEAMENTO;ÁGUA E SANEAMENTO;17.281.106/0001-03
IGSN;IGSN3;IGUA SA;UTILIDADE PÚBLICA;ÁGUA E SANEAMENTO;ÁGUA E SANEAMENTO;08.159.965/0001-33
SBSP;SBSP3;SABESP;UTILIDADE PÚBLICA;ÁGUA E SANEAMENTO;ÁGUA E SANEAMENTO;43.776.517/0001-80
SAPR;SAPR4, SAPR3, SAPR11;SANEPAR;UTILIDADE PÚBLICA;ÁGUA E SANEAMENTO;ÁGUA E SANEAMENTO;76.484.013/0001-45
SNST;;SANESALTO;UTILIDADE PÚBLICA;ÁGUA E SANEAMENTO;ÁGUA E SANEAMENTO;
CEGR;CEGR3;CEG;UTILIDADE PÚBLICA;GÁS;GÁS;33.938.119/0001-69
CGAS;CGAS3, CGAS5;COMGAS;UTILIDADE PÚBLICA;GÁS;GÁS;61.856.571/0001-17
ABCB;ABCB4;ABC BRASIL;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;28.195.667/0001-06
RPAD;RPAD3, RPAD5, RPAD6;ALFA HOLDING;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;17.167.396/0001-69
BRIV;BRIV3, BRIV4;ALFA INVEST;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;60.770.336/0001-65
BAZA;BAZA3;AMAZONIA;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;04.902.979/0001-44
BMGB;BMGB4;BANCO BMG;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;61.186.680/0001-74
BIDI;BIDI3, BIDI11, BIDI4;BANCO INTER;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;00.416.968/0001-01
BPAN;BPAN4;BANCO PAN;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;59.285.411/0001-13
BGIP;BGIP3, BGIP4;BANESE;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;13.009.717/0001-46
BEES;BEES3, BEES4;BANESTES;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;28.127.603/0001-78
BPAR;BPAR3;BANPARA;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;04.913.711/0001-08
BRSR;BRSR6, BRSR5, BRSR3;BANRISUL;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;92.702.067/0001-96
BBDC;BBDC4, BBDC3;BRADESCO;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;60.746.948/0001-12
BBAS;BBAS11, BBAS12, BBAS3;BRASIL;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;00.000.000/0001-91
BSLI;BSLI4, BSLI3;BRB BANCO;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;00.000.208/0001-00
BPAC;BPAC11, BPAC3, BPAC5;BTGP BANCO;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;30.306.294/0001-45
IDVL;IDVL3, IDVL4;INDUSVAL;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;61.024.352/0001-71
ITSA;ITSA3, ITSA4;ITAUSA;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;61.532.644/0001-15
ITUB;ITUB3, ITUB4;ITAUUNIBANCO;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;60.872.504/0001-23
BMEB;BMEB3, BMEB4;MERC BRASIL;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;17.184.037/0001-10
BMIN;BMIN3, BMIN4;MERC INVEST;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;34.169.557/0001-72
BNBR;BNBR3;NORD BRASIL;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;07.237.373/0001-20
PRBC;;PARANA;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;
PINE;PINE3, PINE4;PINE;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;62.144.175/0001-20
SANB;SANB4, SANB3, SANB11;SANTANDER BR;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;90.400.888/0001-42
CRIV;CRIV3, CRIV4;ALFA FINANC;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;SOC. CRÉDITO E FINANCIAMENTO;17.167.412/0001-13
FNCN;FNCN3;FINANSINOS;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;SOC. CRÉDITO E FINANCIAMENTO;91.669.747/0001-92
MERC;MERC3, MERC4;MERC FINANC;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;SOC. CRÉDITO E FINANCIAMENTO;33.040.601/0001-87
BDLS;;BRADESCO LSG;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;SOC. ARRENDAMENTO MERCANTIL;
BVLS;;BV LEASING;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;SOC. ARRENDAMENTO MERCANTIL;
DBEN;;DIBENS LSG;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;SOC. ARRENDAMENTO MERCANTIL;
BZRS;;BRAZIL REALT;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS;SECURITIZADORAS DE RECEBÍVEIS;
BSCS;;BRAZILIAN SC;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS;SECURITIZADORAS DE RECEBÍVEIS;
BRCS;;BRC SECURIT;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS;SECURITIZADORAS DE RECEBÍVEIS;
WTVR;;BRPR 56 SEC;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS;SECURITIZADORAS DE RECEBÍVEIS;
CBSC;;CIBRASEC;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS;SECURITIZADORAS DE RECEBÍVEIS;
ECOA;;ECO SEC AGRO;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS;SECURITIZADORAS DE RECEBÍVEIS;
GAFL;GAFL-CRA02B0;GAIA AGRO;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS;SECURITIZADORAS DE RECEBÍVEIS;14.876.090/0001-93
GAIA;;GAIA SECURIT;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS;SECURITIZADORAS DE RECEBÍVEIS;
OCTS;;OCTANTE SEC;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS;SECURITIZADORAS DE RECEBÍVEIS;
PDGS;;PDG SECURIT;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS;SECURITIZADORAS DE RECEBÍVEIS;
PLSC;;POLO CAP SEC;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS;SECURITIZADORAS DE RECEBÍVEIS;
RBRA;;RBCAPITALRES;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS;SECURITIZADORAS DE RECEBÍVEIS;
APCS;APCS-CRI05B0;TRUESEC;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS;SECURITIZADORAS DE RECEBÍVEIS;12.130.744/0001-00
VERT;;VERTCIASEC;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS;SECURITIZADORAS DE RECEBÍVEIS;
WTPI;;WTORRE PIC;FINANCEIRO;SECURITIZADORAS DE RECEBÍVEIS;SECURITIZADORAS DE RECEBÍVEIS;
BNDP;;BNDESPAR;FINANCEIRO;SERVIÇOS FINANCEIROS DIVERSOS;GESTÃO DE RECURSOS E INVESTIMENTOS;
BFRE;;BRAZILIAN FR;FINANCEIRO;SERVIÇOS FINANCEIROS DIVERSOS;GESTÃO DE RECURSOS E INVESTIMENTOS;
GPIV;GPIV33;GP INVEST;FINANCEIRO;SERVIÇOS FINANCEIROS DIVERSOS;GESTÃO DE RECURSOS E INVESTIMENTOS;07.857.850/0001-50
IDNT;IDNT3;IDEIASNET;FINANCEIRO;SERVIÇOS FINANCEIROS DIVERSOS;GESTÃO DE RECURSOS E INVESTIMENTOS;02.365.069/0001-44
PPLA;PPLA11;PPLA;FINANCEIRO;SERVIÇOS FINANCEIROS DIVERSOS;GESTÃO DE RECURSOS E INVESTIMENTOS;15.073.274/0001-88
B3SA;B3SA3;B3;FINANCEIRO;SERVIÇOS FINANCEIROS DIVERSOS;SERVIÇOS FINANCEIROS DIVERSOS;09.346.601/0001-25
CIEL;CIEL3;CIELO;FINANCEIRO;SERVIÇOS FINANCEIROS DIVERSOS;SERVIÇOS FINANCEIROS DIVERSOS;01.027.058/0001-91
BRGE;BRGE11, BRGE12, BRGE3, BRGE5, BRGE6, BRGE7, BRGE8;ALFA CONSORC;FINANCEIRO;PREVIDÊNCIA E SEGUROS;SEGURADORAS;17.193.806/0001-46
BBSE;BBSE3;BBSEGURIDADE;FINANCEIRO;PREVIDÊNCIA E SEGUROS;SEGURADORAS;17.344.597/0001-94
IRBR;IRBR3;IRBBRASIL RE;FINANCEIRO;PREVIDÊNCIA E SEGUROS;SEGURADORAS;33.376.989/0001-91
PSSA;PSSA3;PORTO SEGURO;FINANCEIRO;PREVIDÊNCIA E SEGUROS;SEGURADORAS;02.149.205/0001-69
CSAB;CSAB3, CSAB4;SEG AL BAHIA;FINANCEIRO;PREVIDÊNCIA E SEGUROS;SEGURADORAS;15.144.017/0001-90
SULA;SULA11, SULA3, SULA4;SUL AMERICA;FINANCEIRO;PREVIDÊNCIA E SEGUROS;SEGURADORAS;29.978.814/0001-87
APER;APER3;ALPER S.A.;FINANCEIRO;PREVIDÊNCIA E SEGUROS;CORRETORAS DE SEGUROS;11.721.921/0001-60
WIZS;WIZS3;WIZ S.A.;FINANCEIRO;PREVIDÊNCIA E SEGUROS;CORRETORAS DE SEGUROS;42.278.473/0001-03
ALSO;ALSO3;ALIANSCSONAE;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS;EXPLORAÇÃO DE IMÓVEIS;05.878.397/0001-32
BRML;BRML3;BR MALLS PAR;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS;EXPLORAÇÃO DE IMÓVEIS;06.977.745/0001-91
BRPR;BRPR3;BR PROPERT;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS;EXPLORAÇÃO DE IMÓVEIS;06.977.751/0001-49
CORR;CORR3, CORR4;COR RIBEIRO;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS;EXPLORAÇÃO DE IMÓVEIS;15.101.405/0001-93
CCPR;CCPR3;CYRE COM-CCP;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS;EXPLORAÇÃO DE IMÓVEIS;08.801.621/0001-86
GSHP;GSHP3;GENERALSHOPP;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS;EXPLORAÇÃO DE IMÓVEIS;08.764.621/0001-53
HBTS;HBTS3, HBTS5, HBTS6;HABITASUL;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS;EXPLORAÇÃO DE IMÓVEIS;87.762.563/0001-03
IGBR;IGBR3;IGB S/A;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS;EXPLORAÇÃO DE IMÓVEIS;43.185.362/0001-07
IGTA;IGTA3;IGUATEMI;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS;EXPLORAÇÃO DE IMÓVEIS;51.218.147/0001-93
JPSA;JPSA3;JEREISSATI;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS;EXPLORAÇÃO DE IMÓVEIS;60.543.816/0001-93
LOGG;LOGG3;LOG COM PROP;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS;EXPLORAÇÃO DE IMÓVEIS;09.041.168/0001-10
MNZC;MNZC3B;MENEZES CORT;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS;EXPLORAÇÃO DE IMÓVEIS;02.664.042/0001-52
MULT;MULT3;MULTIPLAN;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS;EXPLORAÇÃO DE IMÓVEIS;07.816.890/0001-53
SCAR;SCAR3;SAO CARLOS;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS;EXPLORAÇÃO DE IMÓVEIS;29.780.061/0001-09
BBRK;BBRK3;BR BROKERS;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS;INTERMEDIAÇÃO IMOBILIÁRIA;08.613.550/0001-98
LPSB;LPSB3;LOPES BRASIL;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS;INTERMEDIAÇÃO IMOBILIÁRIA;08.078.847/0001-09
MOAR;MOAR3;MONT ARANHA;FINANCEIRO;HOLDINGS DIVERSIFICADAS;HOLDINGS DIVERSIFICADAS;33.102.476/0001-92
PEAB;PEAB3, PEAB4;PAR AL BAHIA;FINANCEIRO;HOLDINGS DIVERSIFICADAS;HOLDINGS DIVERSIFICADAS;01.938.783/0001-11
SPRI;SPRI3, SPRI5, SPRI6;SPRINGER;FINANCEIRO;HOLDINGS DIVERSIFICADAS;HOLDINGS DIVERSIFICADAS;92.929.520/0001-00
CTBA;;CEPAC - CTBA;FINANCEIRO;OUTROS TÍTULOS;OUTROS TÍTULOS;
MCRJ;;CEPAC - MCRJ;FINANCEIRO;OUTROS TÍTULOS;OUTROS TÍTULOS;
PMSP;;CEPAC - PMSP;FINANCEIRO;OUTROS TÍTULOS;OUTROS TÍTULOS;
QVQP;QVQP3B;524 PARTICIP;OUTROS;OUTROS;OUTROS;01.851.771/0001-55
ALEF;ALEF3B;ALEF S/A;OUTROS;OUTROS;OUTROS;02.217.319/0001-07
ATOM;ATOM3;ATOMPAR;OUTROS;OUTROS;OUTROS;00.359.742/0001-08
BETP;BETP3B;BETAPART;OUTROS;OUTROS;OUTROS;02.762.124/0001-30
CABI;CABI3B;CABINDA PART;OUTROS;OUTROS;OUTROS;04.030.182/0001-02
CACO;CACO3B;CACONDE PART;OUTROS;OUTROS;OUTROS;04.031.213/0001-31
CPTP;;CAPITALPART;OUTROS;OUTROS;OUTROS;
MAPT;MAPT4, MAPT3;CEMEPE;OUTROS;OUTROS;OUTROS;93.828.986/0001-73
CMSA;CMSA3, CMSA4;CIMS;OUTROS;OUTROS;OUTROS;00.272.185/0001-93
OPGM;OPGM3B;GAMA PART;OUTROS;OUTROS;OUTROS;02.796.775/0001-40
FIGE;FIGE3, FIGE4;INVEST BEMGE;OUTROS;OUTROS;OUTROS;01.548.981/0001-79
JBDU;JBDU3, JBDU4;J B DUARTE;OUTROS;OUTROS;OUTROS;60.637.238/0001-54
SPRT;;LONGDIS;OUTROS;OUTROS;OUTROS;
MGIP;;MGI PARTICIP;OUTROS;OUTROS;OUTROS;
OPHE;OPHE3B;OPPORT ENERG;OUTROS;OUTROS;OUTROS;02.318.346/0001-68
PPAR;PPAR3;POLPAR;OUTROS;OUTROS;OUTROS;59.789.545/0001-71
PRPT;PRPT3B;PROMPT PART;OUTROS;OUTROS;OUTROS;02.992.449/0001-09
SLCT;SLCT3B;SELECTPART;OUTROS;OUTROS;OUTROS;02.604.860/0001-60
OPSE;OPSE3B;SUDESTE S/A;OUTROS;OUTROS;OUTROS;02.062.747/0001-08
OPTS;OPTS3B;SUL 116 PART;OUTROS;OUTROS;OUTROS;01.957.772/0001-89
RRRP;RRRP3;3R PETROLEUM;PETRÓLEO. GÁS E BIOCOMBUSTÍVEIS;PETRÓLEO. GÁS E BIOCOMBUSTÍVEIS;EXPLORAÇÃO. REFINO E DISTRIBUIÇÃO;12.091.809/0001-55
AERI;AERI3;AERIS;BENS INDUSTRIAIS;MÁQUINAS E EQUIPAMENTOS;MÁQ. E EQUIP. INDUSTRIAIS;12.528.708/0001-07
ALLD;ALLD3;ALLIED;CONSUMO CÍCLICO;COMÉRCIO;ELETRODOMÉSTICOS;20.247.322/0001-47
ALPK;ALPK3;ESTAPAR;BENS INDUSTRIAIS;SERVIÇOS;SERVIÇOS DIVERSOS;60.537.263/0001-66
AVLL;AVLL3;ALPHAVILLE;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;16.811.931/0001-00
AMBP;AMBP3;AMBIPAR;UTILIDADE PÚBLICA;ÁGUA E SANEAMENTO;ÁGUA E SANEAMENTO;12.648.266/0001-24
AURA;AURA33;AURA 360;MATERIAIS BÁSICOS;MINERAÇÃO;MINERAIS METÁLICOS;07.857.093/0001-14
BOAS;BOAS3;BOA VISTA;FINANCEIRO;SERVIÇOS FINANCEIROS DIVERSOS;SERVIÇOS FINANCEIROS DIVERSOS;11.725.176/0001-27
CURY;CURY3;CURY S/A;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;08.797.760/0001-83
DMVF;DMVF3;D1000VFARMA;SAÚDE;COMÉRCIO E DISTRIBUIÇÃO;MEDICAMENTOS E OUTROS PRODUTOS;12.108.897/0001-50
ENJU;ENJU3;ENJOEI;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS;PROGRAMAS E SERVIÇOS;16.922.038/0001-51
SOMA;SOMA3;GRUPO SOMA;CONSUMO CÍCLICO;COMÉRCIO;TECIDOS, VESTUÁRIO E CALÇADOS;10.285.590/0001-08
GMAT;GMAT3;GRUPO MATEUS;CONSUMO NÃO CÍCLICO;COMÉRCIO E DISTRIBUIÇÃO;ALIMENTOS;24.990.777/0001-09
HBRE;HBRE3;HBR REALTY;FINANCEIRO;EXPLORAÇÃO DE IMÓVEIS;EXPLORAÇÃO DE IMÓVEIS;14.785.152/0001-51
LAVV;LAVV3;LAVVI;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;26.462.693/0001-28
LJQQ;LJQQ3;QUERO-QUERO;CONSUMO CÍCLICO;COMÉRCIO;PRODUTOS DIVERSOS;96.418.264/0218-02
CASH;CASH3;MELIUZ;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS;PROGRAMAS E SERVIÇOS;14.110.585/0001-07
MELK;MELK3;MELNICK;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;12.181.987/0001-77
NGRD;NGRD3;NEOGRID;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS;PROGRAMAS E SERVIÇOS;10.139.870/0001-08
PETZ;PETZ3;PETZ;CONSUMO CÍCLICO;COMÉRCIO;PRODUTOS DIVERSOS;18.328.118/0001-09
PLPL;PLPL3;PLANOEPLANO;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;24.230.275/0001-80
RDOR;RDOR3;REDE D OR;SAÚDE;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;06.047.087/0001-39
ASAI;ASAI3;ASSAI;CONSUMO NÃO CÍCLICO;COMÉRCIO E DISTRIBUIÇÃO;ALIMENTOS;06.057.223/0001-71
SEQL;SEQL3;SEQUOIA LOG;BENS INDUSTRIAIS;SERVIÇOS;SERVIÇOS DIVERSOS;01.599.101/0001-93
SIMH;SIMH3;SIMPAR;FINANCEIRO;HOLDINGS DIVERSIFICADAS;HOLDINGS DIVERSIFICADAS;07.415.333/0001-20
TIMS;TIMS3;TIM;COMUNICAÇÕES;TELECOMUNICAÇÕES;TELECOMUNICAÇÕES;02.421.421/0001-11
TFCO;TFCO4;TRACK FIELD;CONSUMO CÍCLICO;TECIDOS, VESTUÁRIO E CALÇADOS;VESTUÁRIO;59.418.806/0001-47
CSED;CSED3;CRUZEIRO EDU;CONSUMO CÍCLICO;DIVERSOS;SERVIÇOS EDUCACIONAIS;62.984.091/0001-02
CMIN;CMIN3;CSNMINERACAO;MATERIAIS BÁSICOS;MINERAÇÃO;MINERAIS METÁLICOS;08.902.291/0001-15
DESK;DESK3;DESKTOP;COMUNICAÇÕES;TELECOMUNICAÇÕES;TELECOMUNICAÇÕES;08.170.849/0001-15
DOTZ;DOTZ3;DOTZ SA;CONSUMO CÍCLICO;DIVERSOS;PROGRAMAS DE FIDELIZAÇÃO;18.174.270/0001-84
ELMD;ELMD3;ELETROMIDIA;COMUNICAÇÕES;MÍDIA;PUBLICIDADE E PROPAGANDA;09.347.516/0001-81
POWE;POWE3;FOCUS ON;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;26.735.020/0001-02
G2DI;G2DI33;G2D INVEST;FINANCEIRO;SERVIÇOS FINANCEIROS DIVERSOS;GESTÃO DE RECURSOS E INVESTIMENTOS;38.307.135/0001-77
NINJ;NINJ3;GETNINJAS;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS;PROGRAMAS E SERVIÇOS;14.127.813/0001-51
GGPS;GGPS3;GPS;BENS INDUSTRIAIS;SERVIÇOS;SERVIÇOS DIVERSOS;09.229.201/0001-30
MATD;MATD3;MATER DEI;SAÚDE;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;16.676.520/0001-59
AESB;AESB3;AES BRASIL;UTILIDADE PÚBLICA;ENERGIA ELÉTRICA;ENERGIA ELÉTRICA;37.663.076/0001-07
AGXY;AGXY3;AGROGALAXY;CONSUMO NÃO CÍCLICO;AGROPECUÁRIA;AGRICULTURA;21.240.146/0001-84
ARML;ARML3;ARMAC;CONSUMO CÍCLICO;DIVERSOS;ALUGUEL DE CARROS;00.242.184/0001-04
MODL;MODL3, MODL4, MODL11;MODALMAIS;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;30.723.886/0001-62
BMOB;BMOB3;BEMOBI TECH;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS;PROGRAMAS E SERVIÇOS;09.042.817/0001-05
SOJA;SOJA3;BOA SAFRA;CONSUMO CÍCLICO;AGROPECUÁRIA;AGRICULTURA;10.807.374/0001-77
BRBI;BRBI11;BR PARTNERS;FINANCEIRO;INTERMEDIÁRIOS FINANCEIROS;BANCOS;10.739.356/0001-03
BRIT;BRIT3;BRISANET;COMUNICAÇÕES;TELECOMUNICAÇÕES;TELECOMUNICAÇÕES;19.796.586/0001-70
CLSA;CLSA3;CLEARSALE;FINANCEIRO;SERVIÇOS FINANCEIROS DIVERSOS;SERVIÇOS FINANCEIROS DIVERSOS;03.802.115/0001-98
CBAV;CBAV3;CBA;MATERIAIS BÁSICOS;MINERAÇÃO;MINERAIS METÁLICOS;61.409.892/0001-73
GRAO;GRAO3;AGRIBRASIL;CONSUMO NÃO CÍCLICO;AGROPECUÁRIA;AGRICULTURA;18.483.666/0001-03
IFCM;IFCM3;INFRACOMM;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS;PROGRAMAS E SERVIÇOS;38.456.921/0001-36
INTB;INTB3;INTELBRAS;TECNOLOGIA DA INFORMAÇÃO;COMPUTADORES E EQUIPAMENTOS;COMPUTADORES E EQUIPAMENTOS;82.901.000/0001-27
JALL;JALL3;JALLESMACHAD;CONSUMO NÃO CÍCLICO;ALIMENTOS PROCESSADOS;AÇUCAR E ALCOOL;02.635.522/0001-95
KLAS;KLAS3;KALLAS;CONSUMO CÍCLICO;CONSTRUÇÃO CIVIL;INCORPORAÇÕES;09.146.451/0001-06
KRSA;KRSA3;KORA SAUDE;SAÚDE;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;SERVIÇOS MÉDICO - HOSPITALARES, ANÁLISES E DIAGNÓSTICOS;13.270.520/0001-66
LVTC;LVTC3;WDC NETWORKS;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS;PROGRAMAS E SERVIÇOS;05.917.486/0001-40
LLBI;LLBI3, LLBI4;LE BISCUIT;CONSUMO CÍCLICO;COMÉRCIO;PRODUTOS DIVERSOS;16.233.389/0001-55
MBLY;MBLY3;MOBLY;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS;PROGRAMAS E SERVIÇOS;31.553.627/0001-01
MOSI;MOSI3;MOSAICO;TECNOLOGIA DA INFORMAÇÃO;PROGRAMAS E SERVIÇOS;PROGRAMAS E SERVIÇOS;09.083.175/0001-84
ESPA;ESPA3;ESPACOLASER;CONSUMO CÍCLICO;COMÉRCIO;PRODUTOS DIVERSOS;26.659.061/0001-59
